Any cancer	Any cancer
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Large B-Cell Lymphoma with IRF4 Rearrangement	Large B-Cell Lymphoma with IRF4 Rearrangement
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Lymphomatoid Granulomatosis	Lymphomatoid Granulomatosis
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Lymphoplasmacytic Lymphoma	Lymphoplasmacytic Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Lymphoplasmacytic Lymphoma/Waldenstrom Macroglobulinemia	Waldenstrom Macroglobulinemia
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Mantle Cell Lymphoma/In Situ Mantle Cell Neoplasia	In Situ Mantle Cell Neoplasia
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Mantle Cell Lymphoma	Mantle Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Marginal Zone Lymphoma/Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Solid tumor (MALT lymphoma)	Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Solid tumor (MALT lymphoma)
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Marginal Zone Lymphoma	Marginal Zone Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Marginal Zone Lymphoma/Nodal Marginal Zone Lymphoma	Nodal Marginal Zone Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Marginal Zone Lymphoma/Splenic Marginal Zone Lymphoma	Splenic Marginal Zone Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms	Mature B-Cell Neoplasms
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Monoclonal B-Cell Lymphocytosis	Monoclonal B-Cell Lymphocytosis
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Monoclonal Gammopathy of Undetermined Significance/IgA	IgA
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Monoclonal Gammopathy of Undetermined Significance/IgG	IgG
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Monoclonal Gammopathy of Undetermined Significance/IgM	IgM
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Monoclonal Gammopathy of Undetermined Significance	Monoclonal Gammopathy of Undetermined Significance
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Monoclonal Immunoglobulin Deposition Diseases/Amyloidosis	Amyloidosis
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Monoclonal Immunoglobulin Deposition Diseases	Monoclonal Immunoglobulin Deposition Diseases
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Monoclonal Immunoglobulin Deposition Diseases/Monoclonal Immunoglobulin Deposition Diseases, Other	Monoclonal Immunoglobulin Deposition Diseases, Other
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Mu Heavy-Chain Disease	Mu Heavy-Chain Disease
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Pediatric-Type Follicular Lymphoma	Pediatric-Type Follicular Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Plasmablastic Lymphoma	Plasmablastic Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Plasma Cell Myeloma	Plasma Cell Myeloma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Primary Cutaneous DLBCL, Leg Type	Primary Cutaneous DLBCL, Leg Type
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Primary Cutaneous Follicle Center Lymphoma	Primary Cutaneous Follicle Center Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Primary DLBCL of the central nervous system	Primary DLBCL of the central nervous system
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Primary Effusion Lymphoma	Primary Effusion Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Primary Mediastinal (Thymic) Large B-Cell Lymphoma	Primary Mediastinal (Thymic) Large B-Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Solitary Plasmacytoma of Bone	Solitary Plasmacytoma of Bone
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Splenic B-Cell Lymphoma/Leukemia, Unclassifiable/Hairy Cell Leukemia-Variant	Hairy Cell Leukemia-Variant
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Splenic B-Cell Lymphoma/Leukemia, Unclassifiable	Leukemia, Unclassifiable
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Splenic B-Cell Lymphoma/Leukemia, Unclassifiable/Splenic Diffuse Red Pulp Small B-Cell Lymphoma	Splenic Diffuse Red Pulp Small B-Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/Splenic B-Cell Lymphoma	Splenic B-Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/T-Cell/Histiocyte-Rich Large B-Cell Lymphoma	Histiocyte-Rich Large B-Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature B-Cell Neoplasms/T-Cell	T-Cell
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Adult T-Cell Leukemia	Adult T-Cell Leukemia
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Adult T-Cell Leukemia/Lymphoma	Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Aggressive NK-Cell Leukemia	Aggressive NK-Cell Leukemia
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Anaplastic Large Cell Lymphoma	Anaplastic Large Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Anaplastic Large Cell Lymphoma/Anaplastic Large-Cell Lymphoma ALK Negative	Anaplastic Large-Cell Lymphoma ALK Negative
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Anaplastic Large Cell Lymphoma/Anaplastic Large-Cell Lymphoma ALK Positive	Anaplastic Large-Cell Lymphoma ALK Positive
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Anaplastic Large Cell Lymphoma/Breast Implant-Associated Anaplastic Large-Cell Lymphoma	Breast Implant-Associated Anaplastic Large-Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Angioimmunoblastic T-Cell Lymphoma	Angioimmunoblastic T-Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Chronic Lymphoproliferative Disorder of NK Cells	Chronic Lymphoproliferative Disorder of NK Cells
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Enteropathy-Associated T-Cell Lymphoma	Enteropathy-Associated T-Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Extranodal NK-	Extranodal NK-
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Extranodal NK-/T-Cell Lymphoma, Nasal Type	T-Cell Lymphoma, Nasal Type
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Follicular T-Cell Lymphoma	Follicular T-Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Hepatosplenic T-cell Lymphoma	Hepatosplenic T-cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Hydroa Vacciniforme Like Lymphoproliferative Disorder	Hydroa Vacciniforme Like Lymphoproliferative Disorder
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Indolent T-Cell Lymphoproliferative Disorder of the GI Tract	Indolent T-Cell Lymphoproliferative Disorder of the GI Tract
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms	Mature T and NK Neoplasms
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma	Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Mycosis Fungoides	Mycosis Fungoides
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Nodal Peripheral T-Cell Lymphoma with TFH Phenotype	Nodal Peripheral T-Cell Lymphoma with TFH Phenotype
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Peripheral T-Cell lymphoma, NOS	Peripheral T-Cell lymphoma, NOS
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Primary Cutaneous Acral CD8 Positive T-Cell Lymphoma	Primary Cutaneous Acral CD8 Positive T-Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Primary Cutaneous CD30 Positive T-Cell Lymphoproliferative Disorders/Lymphomatoid Papulosis	Lymphomatoid Papulosis
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Primary Cutaneous CD30 Positive T-Cell Lymphoproliferative Disorders/Primary Cutaneous Anaplastic Large Cell Lymphoma	Primary Cutaneous Anaplastic Large Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Primary Cutaneous CD30 Positive T-Cell Lymphoproliferative Disorders	Primary Cutaneous CD30 Positive T-Cell Lymphoproliferative Disorders
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Primary Cutaneous CD4 Positive Small/Medium T-Cell Lymphoproliferative Disorder	Medium T-Cell Lymphoproliferative Disorder
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Primary Cutaneous CD4 Positive Small	Primary Cutaneous CD4 Positive Small
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Primary Cutaneous CD8 Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma	Primary Cutaneous CD8 Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Primary Cutaneous Gamma Delta T-Cell Lymphoma	Primary Cutaneous Gamma Delta T-Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Sezary Syndrome	Sezary Syndrome
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Subcutaneous Panniculitis-Like T-Cell Lymphoma	Subcutaneous Panniculitis-Like T-Cell Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/Systemic EBV Positive T-Cell Lymphoma of Childhood	Systemic EBV Positive T-Cell Lymphoma of Childhood
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/T-Cell Large Granular Lymphocytic Leukemia	T-Cell Large Granular Lymphocytic Leukemia
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma/Mature T and NK Neoplasms/T-Cell Prolymphocytic Leukemia	T-Cell Prolymphocytic Leukemia
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Posttransplant Lymphoproliferative Disorders/Classical Hodgkin Lymphoma PTLD	Classical Hodgkin Lymphoma PTLD
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Posttransplant Lymphoproliferative Disorders/Florid Follicular Hyperplasia PTLD	Florid Follicular Hyperplasia PTLD
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Posttransplant Lymphoproliferative Disorders/Infectious Mononucleosis PTLD	Infectious Mononucleosis PTLD
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Posttransplant Lymphoproliferative Disorders/Monomorphic PTLD (B- and T-	Monomorphic PTLD (B- and T-
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Posttransplant Lymphoproliferative Disorders/Monomorphic PTLD (B- and T-/NK-cell types)	NK-cell types)
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Posttransplant Lymphoproliferative Disorders/Plasmacytic Hyperplasia PTLD	Plasmacytic Hyperplasia PTLD
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Posttransplant Lymphoproliferative Disorders/Polymorphic PTLD	Polymorphic PTLD
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/Posttransplant Lymphoproliferative Disorders	Posttransplant Lymphoproliferative Disorders
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/T-Lymphoblastic Leukemia-Lymphoma/Early T-Cell Precursor Lymphoblastic Leukemia	Early T-Cell Precursor Lymphoblastic Leukemia
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/T-Lymphoblastic Leukemia-Lymphoma/Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma	Lymphoma
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/T-Lymphoblastic Leukemia-Lymphoma/Natural Killer (NK) Cell Lymphoblastic Leukemia	Natural Killer (NK) Cell Lymphoblastic Leukemia
Any cancer/Solid tumor/Lymphatic Cancer/Lymphoid Neoplasm/T-Lymphoblastic Leukemia-Lymphoma	T-Lymphoblastic Leukemia-Lymphoma
Any cancer/Solid tumor/Other Cancer/Adenocarcinoma In Situ	Adenocarcinoma In Situ
Any cancer/Solid tumor/Other Cancer/Cancer of Unknown Primary/Acinar Cell Carcinoma, NOS	Acinar Cell Carcinoma, NOS
Any cancer/Solid tumor/Other Cancer/Cancer of Unknown Primary/Adenocarcinoma, NOS	Adenocarcinoma, NOS
Any cancer/Solid tumor/Other Cancer/Cancer of Unknown Primary	Cancer of Unknown Primary
Any cancer/Solid tumor/Other Cancer/Cancer of Unknown Primary/Cancer of Unknown Primary, NOS	Cancer of Unknown Primary, NOS
Any cancer/Solid tumor/Other Cancer/Cancer of Unknown Primary/Mixed Cancer Types	Mixed Cancer Types
Any cancer/Solid tumor/Other Cancer/Cancer of Unknown Primary/Neuroendocrine Carcinoma, NOS	Neuroendocrine Carcinoma, NOS
Any cancer/Solid tumor/Other Cancer/Cancer of Unknown Primary/Neuroendocrine Tumor, NOS	Neuroendocrine Tumor, NOS
Any cancer/Solid tumor/Other Cancer/Cancer of Unknown Primary/Poorly Differentiated Carcinoma, NOS	Poorly Differentiated Carcinoma, NOS
Any cancer/Solid tumor/Other Cancer/Cancer of Unknown Primary/Small Cell Carcinoma of Unknown Primary	Small Cell Carcinoma of Unknown Primary
Any cancer/Solid tumor/Other Cancer/Cancer of Unknown Primary/Squamous Cell Carcinoma, NOS	Squamous Cell Carcinoma, NOS
Any cancer/Solid tumor/Other Cancer/Cancer of Unknown Primary/Undifferentiated Malignant Neoplasm	Undifferentiated Malignant Neoplasm
Any cancer/Solid tumor/Other Cancer/Extra Gonadal Germ Cell Tumor	Extra Gonadal Germ Cell Tumor
Any cancer/Solid tumor/Other Cancer	Other Cancer
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Cancer, Other Cancer/High-Grade Neuroendocrine Carcinoma of the Ovary	High-Grade Neuroendocrine Carcinoma of the Ovary
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Cancer, Other Cancer/High-Grade Serous Fallopian Tube Cancer	High-Grade Serous Fallopian Tube Cancer
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Cancer, Other Cancer	Ovarian Cancer, Other Cancer
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Cancer, Other Cancer/Ovarian Choriocarcinoma, NOS	Ovarian Choriocarcinoma, NOS
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Cancer, Other	Ovarian Cancer, Other
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Brenner Tumor	Brenner Tumor
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Brenner Tumor/Brenner Tumor, Benign	Brenner Tumor, Benign
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Brenner Tumor/Brenner Tumor, Borderline	Brenner Tumor, Borderline
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Brenner Tumor/Brenner Tumor, Malignant	Brenner Tumor, Malignant
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Clear Cell Borderline Ovarian Tumor	Clear Cell Borderline Ovarian Tumor
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Clear Cell Ovarian Cancer	Clear Cell Ovarian Cancer
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Endometrioid Borderlin Ovarian Tumor	Endometrioid Borderlin Ovarian Tumor
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Endometrioid Ovarian Cancer	Endometrioid Ovarian Cancer
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Mixed Ovarian Carcinoma	Mixed Ovarian Carcinoma
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Mucinous Borderline Ovarian Tumor	Mucinous Borderline Ovarian Tumor
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Mucinous Ovarian Cancer	Mucinous Ovarian Cancer
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Ovarian Carcinosarcoma/Malignant Mixed Mesodermal Tumor	Malignant Mixed Mesodermal Tumor
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Ovarian Carcinosarcoma	Ovarian Carcinosarcoma
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor	Ovarian Epithelial Tumor
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Ovarian Seromucinous Adenoma	Ovarian Seromucinous Adenoma
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Ovarian Seromucinous Borderline Tumor	Ovarian Seromucinous Borderline Tumor
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Ovarian Seromucinous Carcinoma	Ovarian Seromucinous Carcinoma
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Serous Borderline Ovarian Tumor, Micropapillary	Serous Borderline Ovarian Tumor, Micropapillary
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Serous Borderline Ovarian Tumor	Serous Borderline Ovarian Tumor
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Serous Ovarian Cancer/High-Grade Serous Ovarian Cancer	High-Grade Serous Ovarian Cancer
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Serous Ovarian Cancer/Low-Grade Serous Ovarian Cancer	Low-Grade Serous Ovarian Cancer
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Serous Ovarian Cancer	Serous Ovarian Cancer
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Epithelial Tumor/Small Cell Carcinoma of the Ovary	Small Cell Carcinoma of the Ovary
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer	Ovarian-Fallopian Tube Cancer
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Germ Cell Tumor/Dysgerminoma	Dysgerminoma
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Germ Cell Tumor/Embryonal Carcinoma	Embryonal Carcinoma
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Germ Cell Tumor/Immature Teratoma	Immature Teratoma
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Germ Cell Tumor/Mature Teratoma	Mature Teratoma
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Germ Cell Tumor/Mixed Germ Cell Tumor	Mixed Germ Cell Tumor
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Germ Cell Tumor	Ovarian Germ Cell Tumor
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Germ Cell Tumor/Polyembryoma	Polyembryoma
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Ovarian Germ Cell Tumor/Yolk Sac Tumor	Yolk Sac Tumor
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Sex Cord Stromal Tumor/Fibrothecoma	Fibrothecoma
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Sex Cord Stromal Tumor/Gonadoblastoma	Gonadoblastoma
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Sex Cord Stromal Tumor/Granulosa Cell Tumor	Granulosa Cell Tumor
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Sex Cord Stromal Tumor/Sertoli-Leydig Cell Tumor	Sertoli-Leydig Cell Tumor
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Sex Cord Stromal Tumor	Sex Cord Stromal Tumor
Any cancer/Solid tumor/Ovarian-Fallopian Tube Cancer/Sex Cord Stromal Tumor/Steroid Cell Tumor, NOS	Steroid Cell Tumor, NOS
Any cancer/Solid tumor/Pancreatic Cancer/Acinar Cell Carcinoma of the Pancreas	Acinar Cell Carcinoma of the Pancreas
Any cancer/Solid tumor/Pancreatic Cancer/Adenosquamous Carcinoma of the Pancreas	Adenosquamous Carcinoma of the Pancreas
Any cancer/Solid tumor/Pancreatic Cancer/Cystic Tumor of the Pancreas	Cystic Tumor of the Pancreas
Any cancer/Solid tumor/Pancreatic Cancer/Cystic Tumor of the Pancreatic Cancer	Cystic Tumor of the Pancreatic Cancer
Any cancer/Solid tumor/Pancreatic Cancer/Cystic Tumor of the Pancreatic Cancer/Intraductal Papillary Mucinous Neoplasm	Intraductal Papillary Mucinous Neoplasm
Any cancer/Solid tumor/Pancreatic Cancer/Cystic Tumor of the Pancreatic Cancer/Mucinous Cystic Neoplasm	Mucinous Cystic Neoplasm
Any cancer/Solid tumor/Pancreatic Cancer/Cystic Tumor of the Pancreatic Cancer/Serous Cystadenoma of the Pancreas	Serous Cystadenoma of the Pancreas
Any cancer/Solid tumor/Pancreatic Cancer/Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma
Any cancer/Solid tumor/Pancreatic Cancer	Pancreatic Cancer
Any cancer/Solid tumor/Pancreatic Cancer/Pancreatic Neuroendocrine Tumor	Pancreatic Neuroendocrine Tumor
Any cancer/Solid tumor/Pancreatic Cancer/Pancreatoblastoma	Pancreatoblastoma
Any cancer/Solid tumor/Pancreatic Cancer/Solid Pseudopapillary Neoplasm of the Pancreas	Solid Pseudopapillary Neoplasm of the Pancreas
